datetime_utc,timestamp,coin,value
2025-09-29 14:30:09+00:00,1759156209,CLASICA,1.055335
2025-09-29 15:00:10+00:00,1759158010,CLASICA,1.057179
2025-09-29 15:30:11+00:00,1759159811,CLASICA,1.057179
2025-09-29 16:00:09+00:00,1759161609,CLASICA,1.062475
2025-09-29 16:30:10+00:00,1759163410,CLASICA,1.064975
2025-09-29 17:00:10+00:00,1759165210,CLASICA,1.064977
2025-09-29 17:30:11+00:00,1759167011,CLASICA,1.064977
2025-09-29 18:00:10+00:00,1759168810,CLASICA,1.062763
2025-09-29 18:30:10+00:00,1759170610,CLASICA,1.062763
2025-09-29 19:00:11+00:00,1759172411,CLASICA,1.066973
2025-09-29 19:30:09+00:00,1759174209,CLASICA,1.066973
2025-09-29 20:00:10+00:00,1759176010,CLASICA,1.066917
2025-09-29 20:30:09+00:00,1759177809,CLASICA,1.068376
2025-09-29 21:00:10+00:00,1759179610,CLASICA,1.064025
2025-09-29 21:30:10+00:00,1759181410,CLASICA,1.064025
2025-09-29 22:00:09+00:00,1759183209,CLASICA,1.064868
2025-09-29 22:30:09+00:00,1759185009,CLASICA,1.066168
2025-09-29 23:00:12+00:00,1759186812,CLASICA,1.066891
2025-09-29 23:30:10+00:00,1759188610,CLASICA,1.066891
2025-09-30 00:00:11+00:00,1759190411,CLASICA,1.066053
2025-09-30 00:30:09+00:00,1759192209,CLASICA,1.066053
2025-09-30 01:00:10+00:00,1759194010,CLASICA,1.066053
2025-09-30 01:30:09+00:00,1759195809,CLASICA,1.066053
2025-09-30 02:00:11+00:00,1759197611,CLASICA,1.066053
2025-09-30 02:30:10+00:00,1759199410,CLASICA,1.066053
2025-09-30 03:00:10+00:00,1759201210,CLASICA,1.066053
2025-09-30 03:30:09+00:00,1759203009,CLASICA,1.066053
2025-09-30 04:00:11+00:00,1759204811,CLASICA,1.066053
2025-09-30 04:30:11+00:00,1759206611,CLASICA,1.066053
2025-09-30 05:00:11+00:00,1759208411,CLASICA,1.066053
2025-09-30 05:30:11+00:00,1759210211,CLASICA,1.066053
2025-09-30 06:00:12+00:00,1759212012,CLASICA,1.066053
2025-09-30 06:30:11+00:00,1759213811,CLASICA,1.066053
2025-09-30 07:00:13+00:00,1759215613,CLASICA,1.066053
2025-09-30 07:30:11+00:00,1759217411,CLASICA,1.066053
2025-09-30 08:00:12+00:00,1759219212,CLASICA,1.064386
2025-09-30 08:30:11+00:00,1759221011,CLASICA,1.064386
2025-09-30 09:00:11+00:00,1759222811,CLASICA,1.066535
2025-09-30 09:30:10+00:00,1759224610,CLASICA,1.066535
2025-09-30 10:00:12+00:00,1759226412,CLASICA,1.066535
2025-09-30 10:30:11+00:00,1759228211,CLASICA,1.067082
2025-09-30 11:00:12+00:00,1759230012,CLASICA,1.066517
2025-09-30 11:30:11+00:00,1759231811,CLASICA,1.066517
2025-09-30 12:00:12+00:00,1759233612,CLASICA,1.066517
2025-09-30 12:30:10+00:00,1759235410,CLASICA,1.067018
2025-09-30 13:00:09+00:00,1759237209,CLASICA,1.062018
2025-09-30 13:30:09+00:00,1759239009,CLASICA,1.062018
2025-09-30 14:00:10+00:00,1759240810,CLASICA,1.055957
2025-09-30 14:30:10+00:00,1759242610,CLASICA,1.055561
2025-09-30 15:00:10+00:00,1759244410,CLASICA,1.052254
2025-09-30 15:30:11+00:00,1759246211,CLASICA,1.051882
2025-09-30 16:00:11+00:00,1759248011,CLASICA,1.054080
2025-09-30 16:31:11+00:00,1759249871,CLASICA,1.053345
2025-09-30 17:00:10+00:00,1759251610,CLASICA,1.053026
2025-09-30 17:30:10+00:00,1759253410,CLASICA,1.053026
2025-09-30 18:00:10+00:00,1759255210,CLASICA,1.051204
2025-09-30 18:30:09+00:00,1759257009,CLASICA,1.048642
2025-09-30 19:00:11+00:00,1759258811,CLASICA,1.049233
2025-09-30 19:30:10+00:00,1759260610,CLASICA,1.049218
2025-09-30 20:00:10+00:00,1759262410,CLASICA,1.049619
