date,coin,open,high,low,close,mean,median,std,count
2026-01-21,ETECSA,177.737619,177.902158,174.513403,176.879349,176.867183,177.197252,0.828852,144
2026-01-22,ETECSA,176.745047,176.751913,172.270862,173.775325,174.158256,173.939949,1.205814,143
2026-01-23,ETECSA,172.347431,172.855976,170.012285,170.663150,171.484418,171.340433,0.890752,120
2026-01-24,ETECSA,170.663150,171.218441,167.581013,168.032043,169.624153,170.027346,1.157136,144
2026-01-25,ETECSA,168.151886,168.629333,164.799542,164.844772,166.937755,167.412130,1.283111,144
2026-01-26,ETECSA,165.005836,165.676575,162.934998,164.737809,164.551399,164.461070,0.665271,141
2026-01-27,ETECSA,164.952991,166.391338,164.312088,165.689786,165.634368,165.800257,0.439137,144
2026-01-28,ETECSA,165.773491,167.925954,164.788358,167.925954,165.819534,165.780345,0.680395,144
2026-01-29,ETECSA,168.006357,175.863592,168.006357,175.820494,171.868021,170.832876,2.127479,144
2026-01-30,ETECSA,175.820494,177.002516,172.168664,172.285350,175.326365,175.760593,1.362182,144
2026-01-31,ETECSA,172.313826,177.283348,172.173748,176.449787,174.092108,173.301774,1.527826,143
2026-02-01,ETECSA,176.449787,182.296353,176.449787,181.930943,178.707931,178.154162,1.715497,144
2026-02-02,ETECSA,181.923609,182.678838,181.098813,181.956454,182.009707,182.115764,0.377818,141
2026-02-03,ETECSA,181.956454,182.077615,180.263386,180.824486,180.982136,180.853125,0.514281,99
2026-02-04,ETECSA,180.903862,181.391149,179.314361,179.386150,180.432289,180.966180,0.687211,143
2026-02-05,ETECSA,179.386150,179.871073,177.341318,177.341318,179.218586,179.534043,0.620771,144
2026-02-06,ETECSA,177.049283,179.886486,160.000000,160.000000,174.479579,175.193082,4.696631,141
2026-02-07,ETECSA,160.000000,170.767081,152.000000,170.767081,159.125474,160.000000,4.853151,144
2026-02-08,ETECSA,170.767081,170.767081,146.534161,146.534161,163.444904,170.767081,11.167843,139
2026-02-09,ETECSA,146.534161,183.650520,146.534161,183.650520,173.215827,179.234221,13.918062,140
2026-02-10,ETECSA,183.611818,186.084830,183.255325,185.905012,184.847168,184.697791,0.729290,128
2026-02-11,ETECSA,185.905012,188.421087,184.982808,188.411957,187.004306,186.639673,0.789405,129
2026-02-12,ETECSA,188.569410,190.494623,187.723951,189.493024,189.388930,189.313245,0.570586,130
2026-02-13,ETECSA,189.585377,191.540974,189.075041,190.480597,190.163838,190.333026,0.555374,144
2026-02-14,ETECSA,190.954084,192.878634,190.362025,190.362025,191.303260,191.047895,0.509765,144
2026-02-15,ETECSA,190.585988,192.379317,190.293075,191.119416,190.919723,190.708993,0.479961,141
2026-02-16,ETECSA,191.761668,202.150874,191.313386,201.151429,194.478327,192.519207,3.297820,141
2026-02-17,ETECSA,201.420161,203.678230,201.270417,202.136502,202.118718,201.770398,0.690326,143
2026-02-18,ETECSA,202.509226,204.496032,202.295842,203.296480,203.466183,203.650930,0.441058,144
2026-02-19,ETECSA,203.055046,205.012665,202.683453,204.543422,203.398592,203.220908,0.626678,144
2026-02-20,ETECSA,204.774261,204.774261,201.943190,204.030764,203.510581,203.645112,0.631082,144
2026-02-21,ETECSA,204.643830,205.861684,204.220350,205.637853,205.119674,204.986402,0.374358,144
2026-02-22,ETECSA,205.261169,205.555275,202.505020,202.505020,204.285181,204.169200,0.644162,144
2026-02-23,ETECSA,201.917381,201.917381,196.864595,197.317484,200.108986,200.895823,1.376676,144
2026-02-24,ETECSA,197.317484,197.319455,196.665910,197.185441,197.072064,197.129987,0.180125,91
